skill_id,skill_name,aliases,description,taxonomy,original_id
SKILL_0000001,solve technical problems,,"Identify technical problems when operating devices and using digital environments, and solve them (from trouble-shooting to solving more complex problems).",esco,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a
SKILL_0000002,use e-services,"apply e-services, able to use e-services, use electronic services, use online payment solutions, utilise e-services, make use of e-services, engage in citizenship through digital technologies",Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.,esco,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce
SKILL_0000003,creatively use digital technologies,,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,esco,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9
SKILL_0000004,"evaluate data, information and digital content","evaluate digital data, evaluate digital content","Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",esco,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650
SKILL_0000005,identify digital competence gaps,,Understand where one’s own digital competence needs to be improved or updated. Be able to support others with their digital competence development. Seek opportunities for self-development and keep up-to-date with the digital evolution.,esco,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7
SKILL_0000006,collaborate through digital technologies,"able to use online tools to collaborate, utilise online tools to collaborate, use online tools to collaborate, make use of online tools to collaborate, use VoIP conference calling, use online meeting tools, use concurrent file editing, apply online tools to collaborate, using online tools to collaborate","Use digital tools and technologies for collaborative processes, and for co-construction and co-creation of resources and knowledge.",esco,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e
SKILL_0000007,protect personal data and privacy,"safeguard online privacy and identities, keep online privacy and identity secure, take action to ensure online privacy, safeguard online privacy and identity, protect digital identity, protect online privacy and identity, protect digital privacy, review online privacy settings, safeguard online identity and privacy, defend online privacy and identity, protect personal data and privacy, safeguarding online privacy and identity",Protect personal data and privacy in digital environments. Understand how to use and share personally identifiable information while being able to protect oneself and others from damages. Understand that digital services use a “Privacy policy” to inform how personal data is used.,esco,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb
SKILL_0000008,share through digital technologies,,"Share data, information and digital content with others through appropriate digital technologies. Act as an intermediary, know about referencing and attribution practices.",esco,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4
SKILL_0000009,identify technological needs,"identify needs and technological responses, assess technological needs",Assess needs and identify digital tools and possible technological responses to address them. Adjust and customise digital environments to personal needs (e.g. accessibility).,esco,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0
SKILL_0000010,"manage data, information and digital content","manage digital data, manage digital content information","Organise, store and retrieve data, information and content in digital environments. Organise and process them in a structured environment.",esco,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222
SKILL_0000011,integrate and re-elaborate digital content,,"Modify, refine, improve and integrate information and content into an existing body of knowledge to create new, original and relevant content and knowledge.",esco,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e
SKILL_0000012,develop digital content,develop digital content,"Create and edit digital content in different formats, express oneself through digital means.",esco,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a
SKILL_0000013,interact through digital technologies,"use e-mail software and services, utilise online communication tools, able to use online communication tools, using online communication tools, communicate on-line, make use of online communication tools, apply online communication tools, communicate in digital environments, use online communication tools, interact through ICT",Interact through a variety of digital technologies and understand appropriate digital communication means for a given context.,esco,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d
SKILL_0000014,manage digital identity,protecting privacy and identity on the Internet,"Create and manage one or multiple digital identities, be able to protect one's own reputation, deal with the data that one produces through several digital tools, environments and services.",esco,http://data.europa.eu/esco/skill/bc0b0b5d-f6be-405a-b224-b6902a4dbe97
SKILL_0000015,protect the environment from the impact of the digital technologies,protect the environment from the impact of the digital technologies,Be aware of the environmental impact of digital technologies and their use.,esco,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586
SKILL_0000016,protect health and well-being while using digital technologies,,Be able to avoid health-risks and threats to physical and psychological well-being while using digital technologies. Be able to protect oneself and others from possible dangers in digital environments (e.g. cyber bullying). Be aware of digital technologies for social well-being and social inclusion.,esco,http://data.europa.eu/esco/skill/d1ed5b3a-cab5-4c5d-baf8-0214998b58fb
